Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
Journal of Travel Research,J TRAVEL RES,0047-2875,1552-6763,管理学,SAGE PUBLICATIONS INC,1,Q1,7.0,9.8,12/139,
JOURNAL OF ADVERTISING,J ADVERTISING,0091-3367,1557-7805,管理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,Q1,7.0,8.5,1/227,
Information Technology & Tourism,INF TECHNOL TOUR,1098-3058,1943-4294,管理学,SPRINGER HEIDELBERG,2,Q1,7.0,8.4,12/139,
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,0272-4944,1522-9610,心理学,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1,Q1,7.0,8.7,11/221,
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,1941-9651,1942-0080,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,7.0,8.1,11/212,
IEEE Transactions on Cognitive Communications and Networking,IEEE T COGN COMMUN,2332-7731,2332-7731,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,7.0,7.8,17/120,
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,0021-9630,1469-7610,医学,WILEY,1,Q1,7.0,8.5,3/94,
HABITAT INTERNATIONAL,HABITAT INT,0197-3975,1873-5428,经济学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,7.0,7.5,2/65,
JOURNAL OF AUTOIMMUNITY,J AUTOIMMUN,0896-8411,1095-9157,医学,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1,Q1,7.0,7.9,24/183,
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,0018-9286,1558-2523,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2,Q1,7.0,7.2,43/366,
Rock Mechanics Bulletin,ROCK MECH B,N/A,2773-2304,工程技术,KEAI PUBLISHING LTD,4,Q1,7.0,7.0,5/65,
Landslides,LANDSLIDES,1612-510X,1612-5118,工程技术,SPRINGER HEIDELBERG,2,Q1,7.0,7.5,15/258,
Econometrics Journal,ECONOMET J,1368-4221,1368-423X,经济学,OXFORD UNIV PRESS,3,Q1,7.0,4.6,5/167,
Asian Economic Policy Review,ASIAN ECON POLICY R,1832-8105,1748-3131,经济学,WILEY,3,Q1,7.0,5.3,20/617,
Journal of Tissue Engineering,J TISSUE ENG,2041-7314,2041-7314,医学,SAGE PUBLICATIONS INC,2,Q1,7.0,6.8,4/32,
Current Research in Food Science,CURR RES FOOD SCI,N/A,2665-9271,农林科学,ELSEVIER,1,Q1,7.0,7.7,18/181,
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,0959-440X,1879-033X,生物学,CURRENT BIOLOGY LTD,2,Q1,7.0,6.5,43/319,
BUSINESS HORIZONS,BUS HORIZONS,0007-6813,1873-6068,管理学,ELSEVIER,3,Q1,7.0,10.0,36/316,
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,MAT SCI ENG A-STRUCT,0921-5093,1873-4936,材料科学,ELSEVIER SCIENCE SA,2,Q1,7.0,7.0,9/96,
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,0742-597X,1943-5479,工程技术,ASCE-AMER SOC CIVIL ENGINEERS,1,Q1,7.0,7.0,13/183,
CHEMISTRY OF MATERIALS,CHEM MATER,0897-4756,1520-5002,材料科学,AMER CHEMICAL SOC,2,Q1,7.0,8.1,102/460,
Sustainable Energy Technologies and Assessments,SUSTAIN ENERGY TECHN,2213-1388,2213-1396,工程技术,ELSEVIER,2,Q2,7.0,6.9,27/102,
Journal of Analysis and Testing,J ANAL TEST,2096-241X,2509-4696,化学,SPRINGER SINGAPORE PTE LTD,1,Q1,7.0,4.8,9/111,
Cell Death Discovery,CELL DEATH DISCOV,N/A,2058-7716,生物学,SPRINGERNATURE,2,Q1,7.0,7.1,42/204,
CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,0958-1669,1879-0429,生物学,ELSEVIER SCI LTD,2,Q1,7.0,8.3,4/86,
Composites Part C: Open Access,COMPOS PART C-OPEN,2666-6820,2666-6820,材料科学,ELSEVIER,3,Q2,7.0,6.6,9/34,
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,CURR OPIN COLLOID IN,1359-0294,1879-0399,化学,ELSEVIER SCIENCE LONDON,2,Q1,7.0,8.6,45/185,
Transactions of the Association for Computational Linguistics,T ASSOC COMPUT LING,N/A,2307-387X,计算机科学,MIT PRESS,2,Q1,6.9,10.7,1/303,
International Journal for Educational Integrity,INT J EDUC INTEGR,1833-2595,1833-2595,教育学,BMC,2,Q1,6.9,5.8,11/756,
ANAESTHESIA,ANAESTHESIA,0003-2409,1365-2044,医学,WILEY,1,Q1,6.9,8.0,3/68,
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,1873-5371,计算机科学,ELSEVIER SCI LTD,1,Q1,6.9,7.4,9/166,
Finance Research Letters,FINANC RES LETT,1544-6123,1544-6131,经济学,ACADEMIC PRESS INC ELSEVIER SCIENCE,2,Q1,6.9,7.2,12/241,
PLANT PHYSIOLOGY,PLANT PHYSIOL,0032-0889,1532-2548,生物学,OXFORD UNIV PRESS INC,1,Q1,6.9,7.7,17/273,
Research in International Business and Finance,RES INT BUS FINANC,0275-5319,1878-3384,经济学,ELSEVIER,2,Q1,6.9,6.6,12/241,
Tourism Management Perspectives,TOUR MANAG PERSPECT,2211-9736,2211-9744,管理学,ELSEVIER,2,Q1,6.9,8.3,14/139,
Journal of Hospitality and Tourism Technology,J HOSP TOUR TECHNOL,1757-9880,1757-9899,管理学,EMERALD GROUP PUBLISHING LTD,3,Q1,6.9,6.9,14/139,
Tribology International,TRIBOL INT,0301-679X,1879-2464,工程技术,ELSEVIER SCI LTD,1,Q1,6.9,6.7,9/182,
Scientific Data,SCI DATA,N/A,2052-4463,综合性期刊,NATURE PORTFOLIO,2,Q1,6.9,8.7,15/135,
Emerging Contaminants,EMERG CONTAM,2405-6650,2405-6642,N/A,KEAI PUBLISHING LTD,N/A,Q1,6.9,N/A,50/374,
Weather and Climate Extremes,WEATHER CLIM EXTREME,2212-0947,2212-0947,地球科学,ELSEVIER,1,Q1,6.9,7.8,8/111,
GIScience & Remote Sensing,GISCI REMOTE SENS,1548-1603,1943-7226,地球科学,TAYLOR & FRANCIS LTD,1,Q1,6.9,7.3,4/67,
Neurotherapeutics,NEUROTHERAPEUTICS,1933-7213,1878-7479,医学,ELSEVIER SCIENCE INC,2,Q1,6.9,7.1,24/352,
AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,0002-9165,1938-3207,医学,ELSEVIER SCIENCE INC,1,Q1,6.9,7.1,10/112,
Urban Climate,URBAN CLIM,2212-0955,2212-0955,工程技术,ELSEVIER,2,Q1,6.9,7.1,8/111,
Plant Stress,PLANT STRESS,2667-064X,2667-064X,生物学,ELSEVIER,2,Q1,6.9,7.0,17/273,
APPLIED THERMAL ENGINEERING,APPL THERM ENG,1359-4311,1873-5606,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,2,Q1,6.9,6.6,9/182,
International Journal of Bank Marketing,INT J BANK MARK,0265-2323,1758-5937,管理学,EMERALD GROUP PUBLISHING LTD,2,Q1,6.9,7.3,38/316,
MICROBIOLOGICAL RESEARCH,MICROBIOL RES,0944-5013,1618-0623,生物学,ELSEVIER GMBH,2,Q1,6.9,7.2,19/163,
Aging and Disease,AGING DIS,2152-5250,2152-5250,医学,INT SOC AGING & DISEASE,3,Q1,6.9,7.5,7/73,
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,0340-5761,1432-0738,医学,SPRINGER HEIDELBERG,2,Q1,6.9,6.4,8/106,
Applied Materials Today,APPL MATER TODAY,2352-9407,2352-9407,材料科学,ELSEVIER,2,Q1,6.9,7.4,104/460,
APPLIED SURFACE SCIENCE,APPL SURF SCI,0169-4332,1873-5584,材料科学,ELSEVIER,2,Q1,6.9,6.3,3/23,
Cell Reports,CELL REP,2211-1247,2211-1247,生物学,CELL PRESS,1,Q1,6.9,8.1,44/204,
Current Opinion in Psychology,CURR OPIN PSYCHOL,2352-250X,2352-2518,心理学,ELSEVIER,2,Q1,6.9,8.2,12/221,
BIODRUGS,BIODRUGS,1173-8804,1179-190X,医学,ADIS INT LTD,2,Q1,6.9,6.0,24/352,
ACS Polymers Au,ACS POLYM AU,N/A,2694-2453,化学,AMER CHEMICAL SOC,2,Q1,6.9,6.4,8/94,
Food Frontiers,FOOD FRONTIERS,N/A,2643-8429,农林科学,WILEY,1,Q1,6.9,8.6,19/181,
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,SCI TECHNOL ADV MAT,1468-6996,1878-5514,材料科学,TAYLOR & FRANCIS LTD,3,Q1,6.9,7.2,104/460,
Intelligent Medicine,INTEL MED,2667-1026,2667-1026,医学,ELSEVIER,4,Q1,6.9,6.1,5/48,
Chemical Biology Letters,CHEM BIOL LETT,N/A,2347-9825,医学,ScienceIn Publications,4,Q1,6.9,N/A,6/72,
Current Opinion in Electrochemistry,CURR OPIN ELECTROCHE,2451-9103,2451-9103,化学,ELSEVIER,2,Q1,6.9,7.5,10/44,
Internet and Higher Education,INTERNET HIGH EDUC,1096-7516,1873-5525,教育学,ELSEVIER SCIENCE INC,1,Q1,6.8,8.1,12/756,
RHINOLOGY,RHINOLOGY,0300-0729,0300-0729,医学,INT RHINOLOGIC SOC,2,Q1,6.8,6.2,1/67,
Autism in Adulthood,AUTISM ADULTHOOD,2573-9581,2573-959X,医学,"MARY ANN LIEBERT, INC",1,Q1,6.8,9.4,2/173,
International Forum of Allergy & Rhinology,INT FORUM ALLERGY RH,2042-6976,2042-6984,医学,WILEY,2,Q1,6.8,4.8,1/67,
JOURNAL OF CLINICAL PERIODONTOLOGY,J CLIN PERIODONTOL,0303-6979,1600-051X,医学,WILEY,1,Q1,6.8,8.2,4/162,
REVIEW OF ECONOMICS AND STATISTICS,REV ECON STAT,0034-6535,1530-9142,经济学,MIT PRESS,1,Q1,6.8,7.8,22/617,
JOURNAL OF UROLOGY,J UROLOGY,0022-5347,1527-3792,医学,LIPPINCOTT WILLIAMS & WILKINS,2,Q1,6.8,6.3,10/133,
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,EUR J VASC ENDOVASC,1078-5884,1532-2165,医学,W B SAUNDERS CO LTD,1,Q1,6.8,6.5,9/312,
Alexandria Engineering Journal,ALEX ENG J,1110-0168,2090-2670,工程技术,ELSEVIER,2,Q1,6.8,6.1,9/175,
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,EUR J ANAESTH,0265-0215,1365-2346,医学,LIPPINCOTT WILLIAMS & WILKINS,2,Q1,6.8,4.6,4/68,
Photoacoustics,PHOTOACOUSTICS,2213-5979,2213-5979,医学,ELSEVIER GMBH,1,Q1,6.8,7.3,12/212,
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,0925-5214,1873-2356,农林科学,ELSEVIER,1,Q1,6.8,7.5,1/129,
INFORMATION SCIENCES,INFORM SCIENCES,0020-0255,1872-6291,计算机科学,ELSEVIER SCIENCE INC,2,Q1,6.8,6.6,21/258,
JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,0022-2623,1520-4804,医学,AMER CHEMICAL SOC,1,Q1,6.8,7.2,7/72,
JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,0165-4101,1879-1980,管理学,ELSEVIER,1,Q1,6.8,9.3,22/617,
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,医学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2,Q1,6.8,7.0,3/67,
METABOLIC ENGINEERING,METAB ENG,1096-7176,1096-7184,生物学,ACADEMIC PRESS INC ELSEVIER SCIENCE,1,Q1,6.8,7.8,18/177,
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,0965-8564,1879-2375,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,6.8,7.8,22/617,
Electronic Markets,ELECTRON MARK,1019-6781,1422-8890,管理学,SPRINGER HEIDELBERG,3,Q1,6.8,10.0,39/316,
Journal of Geovisualization and Spatial Analysis,J GEOVIS SPAT ANAL,2509-8810,2509-8829,地球科学,SPRINGERNATURE,1,Q1,6.8,5.4,6/173,
Alzheimers & Dementia-Translational Research & Clinical Interventions,ALZH DEMENT-TRCI,N/A,2352-8737,医学,WILEY,2,Q1,6.8,6.1,23/285,
Clinical and Translational Medicine,CLIN TRANSL MED,2001-1326,2001-1326,医学,JOHN WILEY & SONS LTD,2,Q1,6.8,8.0,47/326,
SOIL & TILLAGE RESEARCH,SOIL TILL RES,0167-1987,1879-3444,农林科学,ELSEVIER,1,Q1,6.8,7.8,5/48,
Current Opinion in Chemical Engineering,CURR OPIN CHEM ENG,2211-3398,2211-3398,工程技术,ELSEVIER SCI LTD,2,Q1,6.8,7.4,18/177,
Innovative Food Science & Emerging Technologies,INNOV FOOD SCI EMERG,1466-8564,1878-5522,农林科学,ELSEVIER SCI LTD,1,Q1,6.8,7.6,20/181,
International Journal of Fatigue,INT J FATIGUE,0142-1123,1879-3452,材料科学,ELSEVIER SCI LTD,2,Q1,6.8,6.5,11/182,
ACM Transactions on Quantum Computing,ACM T QUANTUM COMPUT,2643-6809,2643-6817,物理与天体物理,ASSOC COMPUTING MACHINERY,3,Q1,6.8,6.7,13/147,
BRITISH JOURNAL OF CANCER,BRIT J CANCER,0007-0920,1532-1827,医学,SPRINGERNATURE,2,Q1,6.8,8.6,47/326,
Cleaner Logistics and Supply Chain,CLEAN LOGIST SUPPL C,2772-3909,2772-3909,管理学,ELSEVIER,3,Q1,6.8,6.9,11/106,
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,管理学,ELSEVIER,2,Q1,6.8,8.2,21/258,
JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,0894-3796,1099-1379,管理学,WILEY,1,Q1,6.8,10.1,8/115,
Internet Research,INTERNET RES,1066-2243,1066-2243,管理学,EMERALD GROUP PUBLISHING LTD,2,Q1,6.8,8.2,21/258,
General Psychiatry,GEN PSYCHIAT,2096-5923,2517-729X,医学,BMJ PUBLISHING GROUP,2,Q1,6.8,6.4,17/288,
Journal of Intellectual Capital,J INTELLECT CAP,1469-1930,1758-7468,管理学,EMERALD GROUP PUBLISHING LTD,2,Q1,6.8,8.0,39/316,
Journal of Manufacturing Processes,J MANUF PROCESS,1526-6125,2212-4616,工程技术,ELSEVIER SCI LTD,1,Q1,6.8,7.0,13/71,
Journal of Remote Sensing,J REMOTE SENS-PRC,N/A,2694-1589,地球科学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,6.8,9.6,16/258,
Space-Science & Technology,SPACE-SCI TECH-CHINA,N/A,2692-7659,物理与天体物理,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,6.8,6.1,3/55,
Journal of Traffic and Transportation Engineering-English Edition,J TRAFFIC TRANSP ENG,2095-7564,2095-7564,工程技术,KEAI PUBLISHING LTD,2,Q1,6.8,7.7,14/183,
Journal of Science-Advanced Materials and Devices,J SCI-ADV MATER DEV,2468-2284,2468-2179,材料科学,VIETNAM NATL UNIV,2,Q1,6.8,7.7,107/460,
NEW CARBON MATERIALS,NEW CARBON MATER,2097-1605,1872-5805,材料科学,ELSEVIER,3,Q1,6.8,6.3,107/460,
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,0001-5962,1871-2509,数学,"INT PRESS BOSTON, INC",1,Q1,6.7,5.9,2/483,
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERS SOC PSYCHOL,0022-3514,1939-1315,心理学,AMER PSYCHOLOGICAL ASSOC,1,Q1,6.7,8.0,3/78,
American Economic Review-Insights,AM ECON REV INSIGHTS,2640-205X,2640-2068,经济学,AMER ECONOMIC ASSOC,1,Q1,6.7,8.9,25/617,
JOURNAL OF BUSINESS ETHICS,J BUS ETHICS,0167-4544,1573-0697,哲学,SPRINGER,1,Q1,6.7,8.7,3/77,
URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,1618-8667,1610-8167,环境科学与生态学,ELSEVIER GMBH,2,Q1,6.7,7.6,2/92,
ANALYTICAL CHEMISTRY,ANAL CHEM,0003-2700,1520-6882,化学,AMER CHEMICAL SOC,1,Q1,6.7,6.6,10/111,
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,0269-2813,1365-2036,医学,WILEY,1,Q1,6.7,7.0,26/352,
THYROID,THYROID,1050-7256,1557-9077,医学,"MARY ANN LIEBERT, INC",1,Q1,6.7,6.2,20/191,
MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,0025-6196,1942-5546,医学,ELSEVIER SCIENCE INC,2,Q1,6.7,8.1,26/332,
IEEE Transactions on Green Communications and Networking,IEEE T GREEN COMMUN,2473-2400,2473-2400,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2,Q1,6.7,5.4,19/120,
Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,1941-7705,1941-7713,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,6.7,7.2,28/230,
EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,0924-977X,1873-7862,医学,ELSEVIER,2,Q1,6.7,5.6,18/288,
EUROPEAN PSYCHIATRY,EUR PSYCHIAT,0924-9338,1778-3585,医学,CAMBRIDGE UNIV PRESS,2,Q1,6.7,6.9,18/288,
International Journal of Hydromechatronics,INT J HYDROMECHATRON,2515-0464,2515-0472,工程技术,INDERSCIENCE ENTERPRISES LTD,1,Q1,6.7,3.3,12/182,
ACS Photonics,ACS PHOTONICS,2330-4022,N/A,物理与天体物理,AMER CHEMICAL SOC,1,Q1,6.7,6.9,18/125,
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,1774-0746,1773-0155,农林科学,SPRINGER FRANCE,1,Q1,6.7,8.5,2/129,
Materials Today Chemistry,MATER TODAY CHEM,2468-5194,2468-5194,化学,ELSEVIER SCI LTD,2,Q1,6.7,7.1,46/239,
International Review of Sport and Exercise Psychology,INT REV SPORT EXER P,1750-984X,1750-9858,心理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,Q1,6.7,8.4,9/115,
ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,1323-8930,1440-1592,医学,JAPANESE SOC ALLERGOLOGY,2,Q1,6.7,6.9,4/39,
United European Gastroenterology Journal,UNITED EUR GASTROENT,2050-6406,2050-6414,医学,JOHN WILEY & SONS LTD,2,Q1,6.7,5.8,18/147,
Neural Regeneration Research,NEURAL REGEN RES,1673-5374,1876-7958,医学,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2,Q1,6.7,5.9,30/314,
Journal of Water Process Engineering,J WATER PROCESS ENG,2214-7144,2214-7144,工程技术,ELSEVIER,3,Q1,6.7,6.7,9/131,
FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,0091-3022,1095-6808,医学,ACADEMIC PRESS INC ELSEVIER SCIENCE,2,Q1,6.7,7.8,30/314,
Current Psychiatry Reports,CURR PSYCHIAT REP,1523-3812,1535-1645,医学,SPRINGER,2,Q1,6.7,8.7,18/288,
ACS ES&T Engineering,ACS EST ENG,N/A,2690-0645,环境科学与生态学,AMER CHEMICAL SOC,3,Q2,6.7,7.3,21/83,
Computer Assisted Language Learning,COMPUT ASSIST LANG L,0958-8221,1744-3210,文学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,Q1,6.6,8.5,2/303,
CITIES,CITIES,0264-2751,1873-6084,经济学,ELSEVIER SCI LTD,1,Q1,6.6,7.5,5/76,
Journal of Tourism Futures,J TOUR FUTURES,2055-5911,2055-592X,管理学,EMERALD GROUP PUBLISHING LTD,3,Q1,6.6,6.3,17/139,
Review of Environmental Economics and Policy,REV ENV ECON POLICY,1750-6816,1750-6824,经济学,UNIV CHICAGO PRESS,2,Q1,6.6,9.5,26/617,
EPILEPSIA,EPILEPSIA,0013-9580,1528-1167,医学,WILEY,1,Q1,6.6,6.0,25/285,
Japanese Dental Science Review,JPN DENT SCI REV,1882-7616,2213-6851,医学,ELSEVIER SCI LTD,2,Q1,6.6,7.5,5/162,
AGU Advances,AGU ADV,N/A,2576-604X,地球科学,AMER GEOPHYSICAL UNION,1,Q1,6.6,8.1,17/258,
Current Opinion in Environmental Science & Health,CURR OPIN ENV SCI HL,2468-5844,2468-5844,环境科学与生态学,ELSEVIER,3,Q1,6.6,7.1,54/374,
European Heart Journal-Cardiovascular Imaging,EUR HEART J-CARD IMG,2047-2404,2047-2412,医学,OXFORD UNIV PRESS,1,Q1,6.6,6.2,13/212,
PRECISION AGRICULTURE,PRECIS AGRIC,1385-2256,1573-1618,农林科学,SPRINGER,2,Q1,6.6,7.4,5/94,
ROCK MECHANICS AND ROCK ENGINEERING,ROCK MECH ROCK ENG,0723-2632,1434-453X,工程技术,SPRINGER WIEN,1,Q1,6.6,7.4,17/258,
EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,1080-6040,1080-6059,医学,CENTERS DISEASE CONTROL & PREVENTION,2,Q1,6.6,6.4,9/137,
Molecular Metabolism,MOL METAB,2212-8778,2212-8778,医学,ELSEVIER,2,Q1,6.6,8.5,22/191,
Geoderma,GEODERMA,0016-7061,1872-6259,农林科学,ELSEVIER,1,Q1,6.6,7.3,6/48,
THIN-WALLED STRUCTURES,THIN WALL STRUCT,0263-8231,1879-3223,工程技术,ELSEVIER SCI LTD,2,Q1,6.6,6.4,10/171,
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,CLIN PSYCHOL-SCI PR,0969-5893,1468-2850,N/A,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,N/A,Q1,6.6,7.3,5/185,
Journal of Allergy and Clinical Immunology-In Practice,J ALLER CL IMM-PRACT,2213-2198,2213-2201,医学,ELSEVIER,1,Q1,6.6,7.6,5/39,
LWT-FOOD SCIENCE AND TECHNOLOGY,LWT-FOOD SCI TECHNOL,0023-6438,1096-1127,N/A,ELSEVIER,N/A,Q1,6.6,6.9,22/181,
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,计算机科学,ELSEVIER,2,Q1,6.6,6.9,24/175,
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,环境科学与生态学,ELSEVIER,2,Q1,6.6,7.5,13/200,
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,1557-7325,计算机科学,ASSOC COMPUTING MACHINERY,1,Q1,6.6,7.1,25/258,
Case Studies in Construction Materials,CASE STUD CONSTR MAT,2214-5095,2214-5095,工程技术,ELSEVIER,2,Q1,6.6,6.7,15/183,
Journal of Materials Research and Technology-JMR&T,J MATER RES TECHNOL,2238-7854,2214-0697,材料科学,ELSEVIER,2,Q1,6.6,6.7,10/96,
Science Signaling,SCI SIGNAL,1945-0877,1937-9145,生物学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,6.6,7.3,45/319,
Antioxidants,ANTIOXIDANTS-BASEL,N/A,2076-3921,医学,MDPI,2,Q1,6.6,7.3,8/72,
MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,0277-7037,1098-2787,化学,WILEY,2,Q1,6.6,7.9,3/44,
Nanophotonics,NANOPHOTONICS-BERLIN,2192-8606,2192-8614,物理与天体物理,WALTER DE GRUYTER GMBH,2,Q1,6.6,7.3,19/125,
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,计算机科学,ASSOC COMPUTING MACHINERY,3,Q1,6.6,8.4,25/258,
Biocybernetics and Biomedical Engineering,BIOCYBERN BIOMED ENG,0208-5216,0208-5216,医学,ELSEVIER,2,Q1,6.6,5.9,20/124,
REVIEWS IN MEDICAL VIROLOGY,REV MED VIROL,1052-9276,1099-1654,医学,WILEY,2,Q1,6.6,7.2,4/42,
TRENDS IN PARASITOLOGY,TRENDS PARASITOL,1471-4922,1471-5007,医学,CELL PRESS,2,Q1,6.6,8.3,2/47,
ChemSusChem,CHEMSUSCHEM,1864-5631,1864-564X,化学,WILEY-V C H VERLAG GMBH,2,Q1,6.6,7.7,47/239,
Inflammation and Regeneration,INFLAMM REGEN,N/A,1880-8190,医学,BMC,3,Q1,6.6,7.0,27/183,
Solar Energy,SOL ENERGY,0038-092X,1471-1257,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,2,Q2,6.6,6.6,51/182,
International Journal of Smart and Nano Materials,INT J SMART NANO MAT,1947-5411,1947-542X,材料科学,TAYLOR & FRANCIS LTD,3,Q1,6.6,5.9,112/460,
Nanoscale Horizons,NANOSCALE HORIZ,2055-6756,2055-6764,材料科学,ROYAL SOC CHEMISTRY,2,Q1,6.6,8.1,112/460,
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,0179-5953,2197-6554,环境科学与生态学,SPRINGER,3,Q1,6.6,6.7,9/106,
REVIEWS IN CHEMICAL ENGINEERING,REV CHEM ENG,0167-8299,2191-0235,工程技术,WALTER DE GRUYTER GMBH,3,Q1,6.6,7.0,29/175,
SOCIOLOGICAL METHODS & RESEARCH,SOCIOL METHOD RES,0049-1241,1552-8294,社会学,SAGE PUBLICATIONS INC,2,Q1,6.5,7.1,3/219,
Journal of Animal Science and Biotechnology,J ANIM SCI BIOTECHNO,1674-9782,2049-1891,农林科学,BMC,1,Q1,6.5,7.2,3/86,
Agricultural Water Management,AGR WATER MANAGE,0378-3774,1873-2283,农林科学,ELSEVIER,1,Q1,6.5,6.9,3/129,
ISA TRANSACTIONS,ISA T,0019-0578,1879-2022,计算机科学,ELSEVIER SCIENCE INC,2,Q1,6.5,6.3,10/175,
BMJ Quality & Safety,BMJ QUAL SAF,2044-5415,2044-5423,医学,BMJ PUBLISHING GROUP,1,Q1,6.5,6.7,4/124,
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,0001-8392,1930-3815,管理学,SAGE PUBLICATIONS INC,1,Q1,6.5,13.9,56/420,
IEEE TRANSACTIONS ON POWER ELECTRONICS,IEEE T POWER ELECTR,0885-8993,1941-0107,工程技术,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,6.5,7.0,44/366,
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1941-0506,计算机科学,IEEE COMPUTER SOC,2,Q1,6.5,6.4,8/128,
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,0360-3016,1879-355X,医学,ELSEVIER SCIENCE INC,1,Q1,6.5,6.5,14/212,
npj Vaccines,NPJ VACCINES,N/A,2059-0105,医学,NATURE PORTFOLIO,2,Q1,6.5,6.6,31/195,
Advances in Sample Preparation,ADV SAMPLE PREP,N/A,2772-5820,化学,ELSEVIER,2,Q1,6.5,6.5,11/111,
npj Regenerative Medicine,NPJ REGEN MED,N/A,2057-3995,医学,NATURE PORTFOLIO,1,Q1,6.5,8.5,5/32,
Astrodynamics,ASTRODYNAMICS-CHINA,2522-008X,2522-0098,物理与天体物理,SPRINGERNATURE,2,Q1,6.5,5.0,4/55,
